1	1-byte character code	<I><Q>@1-byte character code<br />- (Tech) mã ký tự 1 bai</Q></I>
2	1-byte character set	<I><Q>@1-byte character set<br />- (Tech) bộ ký tự 1 bai</Q></I>
3	1-byte character string	<I><Q>@1-byte character string<br />- (Tech) chuỗi ký tự 1 bai</Q></I>
4	1 to 1 relationship	<I><Q>﻿@1 to 1 relationship<br />- (Tech) quan hệ 1 đối 1</Q></I>
5	1 to many relationship	<I><Q>@1 to many relationship<br />- (Tech) quan hệ 1 đối nhiều</Q></I>
6	2-way device	<I><Q>@2-way device<br />- (Tech) thiết bị 2 chiều/thu phát</Q></I>
7	2D configuration	<I><Q>@2D configuration<br />- (Tech) cấu hình 2 chiều, cấu hình phẳng</Q></I>
8	2D image	<I><Q>@2D image<br />- (Tech) ảnh 2 chiều, ảnh phẳng</Q></I>
9	2D module = two-dimensional module	<I><Q>@2D module = two-dimensional module<br />- (Tech) mô đun hai chiều</Q></I>
10	2D (two dimension)	<I><Q>@2D (two dimension)<br />- (Tech) hai chiều, nhị thứ nguyên, phẳng</Q></I>
11	3D (three dimension)	<I><Q>@3D (three dimension)<br />- (Tech) ba chiều, tam thứ nguyên, nổi</Q></I>
12	3D (three dimension) calculation	<I><Q>@3D (three dimension) calculation<br />- (Tech) tính toán 3 chiều</Q></I>
13	3D (three dimension) configuration	<I><Q>@3D (three dimension) configuration<br />- (Tech) cấu hình 3 chiều, cấu hình nổi</Q></I>
14	3D (three dimension) image	<I><Q>@3D (three dimension) image<br />- (Tech) ảnh 3 chiều, ảnh nổi = stereoscopic image</Q></I>
15	4th Generation Language (4GL)	<I><Q>@4th Generation Language (4GL)<br />- (Tech) Ngôn ngữ Thế hệ Thứ tư</Q></I>
16	7-bit ASCII code	<I><Q>@7-bit ASCII code<br />- (Tech) mã ASCII 7 bít</Q></I>
17	7-bit ASCII code set	<I><Q>@7-bit ASCII code set<br />- (Tech) bộ mã ASCII 7 bít</Q></I>
18	8-bit character	<I><Q>@8-bit character<br />- (Tech) ký tự 8 bít</Q></I>
19	8-bit character code	<I><Q>@8-bit character code<br />- (Tech) mã ký tự 8 bít</Q></I>
20	8-bit character set	<I><Q>@8-bit character set<br />- (Tech) bộ ký tự 8 bít</Q></I>
21	8-bit character string	<I><Q>@8-bit character string<br />- (Tech) chuỗi ký tự 8 bít</Q></I>
22	8-bit microcomputer	<I><Q>@8-bit microcomputer<br />- (Tech) máy vi điện toán 8 bít, máy vi tính 8 bít [TN]</Q></I>
23	8-bit microprocessor	<I><Q>@8-bit microprocessor<br />- (Tech) bộ vi xử lý 8 bít</Q></I>
24	8-bit personal computer	<I><Q>@8-bit personal computer<br />- (Tech) máy điện toán cá nhân 8 bít</Q></I>
